name,billing_id
CITY DINUBA,115101
CITY OF DIXON,115104
CITY DOS PALOS,115108
CITY DUBLIN,115114
CITY DUNSMUIR,115117
CITY EAST PALO ALTO,115118
CITY EL CERRITO ENG,115120
CITY OF ELK GROVE,115122
CITY ELKO 2 - STREET DEPT,115123
CITY OF ELY PUBLIC WORKS DEPARTMENT,115125
CITY EMERYVILLE ENGR,115127
CITY ESCALON,115133
CITY EUREKA,115140
CITY EXETER,115166
CITY FAIRFIELD,115192
CITY FALLON,115297
CITY FARMERSVILLE,115403
CITY FERNDALE,115508
CITY OF FERNLEY,115534
CITY FIREBAUGH,115560
CITY FOLSOM,115614
CITY FORT BRAGG,115719
CITY FORTUNA,115825
CITY FOSTER CITY,116036
CITY FOWLER,116141
CITY FREMONT,116247
CITY FRESNO,116458
CITY GALT,116520
GILL RANCH STORAGE LLC,116567
CITY GILROY PW,116583
CITY OF GONZALES,116626
CITY GRASS VALLEY,116669
CITY OF GREENFIELD,116774
CITY GRIDLEY,116880
CITY GROVER BEACH,117091
CITY GUSTINE,117196
CITY HAYWARD,117302
CITY HEALDSBURG,117513
CITY HENDERSON,117724
CITY HERCULES,117935
CITY OF HOLLISTER - UTILITY DIVISION,117962
CITY HUGHSON PW,117988
CITY IONE,118015
CITY OF ISLETON,118029
CITY JACKSON SEWER,118042
CITY KERMAN,118068
CITY KING CITY,118081
CITY KINGSBURG,118094
CITY LAKEPORT,118226
CITY LARKSPUR,118292
CITY LAS VEGAS,118357
CITY LATHROP PWD,118462
CITY LEMOORE,118568
CITY LINCOLN,118680
CITY LINDSAY,118779
CITY LIVE OAK,118990
CITY LIVERMORE ENG DEPT,119201
CITY LIVINGSTON,119412
CITY LODI,119623
CITY LOS ALTOS,119729
CITY LOS BANOS,119781
CITY OF LOVELOCK,119795
CITY OF LOYALTON,119808
CITY MADERA,119834
CITY MANTECA,119939
CITY MARINA,120045
CITY MARTINEZ,120256
CITY MARYSVILLE,120362
CITY MCFARLAND ENG,120415
CITY OF MENDOTA,120442
CITY MENLO PARK,120468
CITY MERCED,120678
CITY OF MESQUITE,120783
CITY MILL VALLEY,120889
CITY MILLBRAE,121100
CITY MILPITAS,121311
CITY MODESTO,121522
CITY MONTAGUE,121575
CITY MONTEREY,121628
CITY MORGAN HILL,121734
CITY MORRO BAY,121944
CITY MOUNTAIN VIEW,122050
CITY MOUNT SHASTA,122103
CITY NAPA,122129
CITY NEVADA CITY,122142
CITY NEWARK,122155
CITY NEWMAN,122208
CITY NORTH LAS VEGAS,122261
CITY NOVATO,122366
CITY OAKDALE,122577
CITY OAKLAND CONST DEPT,122788
CITY OF OAKLEY,122814
CITY OF ORANGE COVE,122841
CITY OF ORINDA,122894
CITY ORLAND,122999
CITY OROVILLE,123105
CITY PACIFICA ENG/WTR,123158
CITY PACIFIC GROVE,123211
CITY PALO ALTO,123421
CITY PARLIER,123527
CITY PASO ROBLES,123632
CITY PATTERSON,123843
CITY PETALUMA,123950
CITY PIEDMONT,124054
CITY PINOLE PWD,124265
CITY PISMO BEACH,124476
CITY PITTSBURG,124687
CITY PLACERVILLE,124794
CITY PLEASANT HILL PW,124898
CITY PLEASANTON,125109
CITY OF PLYMOUTH,125162
CITY POINT ARENA,125215
CITY PORTERVILLE,125320
CITY OF PORTOLA,125426
CITY OF RANCHO CORDOVA,125478
CITY RED BLUFF,125531
CITY REDDING ELEC DEPT,125742
CITY REDWOOD CITY,125953
CITY REEDLEY,126164
CITY RENO,126269
CITY RICHMOND,126375
CITY RIDGECREST,126586
CITY RIO DELL,126701
CITY RIO VISTA,126749
CITY OF RIPON,126773
CITY OF RIVERBANK,126786
CITY ROCKLIN LANDSCAPE,126797
CITY ROHNERT PARK,127008
CTY ROSEVILLE RECYCLED WTR,127219
CITY SACRAMENTO DEPT/O TRANS TRF SIG&ST,127430
CITY SALINAS,127641
CITY SAN BRUNO,127694
CITY OF SAN CARLOS,127720
CITY SAN JOSE,127747
CITY SAN JUAN BAUTISTA,127799
CITY SAN LEANDRO,127852
CITY SAN LUIS OBISPO,128063
CITY SAN MATEO,128274
CITY OF SAN PABLO,128300
CITY SAN RAFAEL&SRSD,128327
CITY SAN RAMON,128380
CITY SANGER PW,128432
CITY SANTA CLARA,128485
CITY SANTA CRUZ TRF MAIN,128697
CITY SANTA ROSA RECLAIM,128907
CITY SAUSALITO,129012
CITY SCOTTS VALLEY,129118
CITY SEASIDE,129330
CITY SEBASTOPOL,129540
CITY SELMA,129751
CITY OF SHAFTER,129804
CITY SHASTA LAKE,129857
CITY OF SOLEDAD,129910
CITY S. SAN FRANCISCO,129963
CITY SONOMA PWD,130174
CITY SONORA,130200
CITY SOUTH LAKE TAHOE,130226
CITY SPARKS,130279
CITY STOCKTON WATER,130384
CITY SAINT HELENA,130489
CITY OF SUISUN CITY,130542
CITY SUNNYVALE,130595
CITY SUSANVILLE,130701
CITY TAFT WWTP,130806
CITY TEHACHAPI,130911
CITY TEHAMA,131017
CITY TRACY PW DEPT,131070
CITY TRINIDAD,131097
CITY TULARE,131123
CITY TURLOCK,131228
CITY UKIAH,131439
CITY UNION CITY,131650
CITY VACAVILLE,131861
CITY VALLEJO,132072
CITY VISALIA,132178
CITY WALNUT CREEK,132283
CITY WASCO,132390
CITY WATERFORD,132443
CITY WATSONVILLE,132494
CITY WEED,132507
CITY WELLS,132520
CITY WEST WENDOVER,132547
CITY WHEATLAND,132574
CITY WILLIAMS,132600
CITY WILLITS,132705
CITY WILLOWS,132720
CITY WINNEMUCCA,132736
CITY WINTERS,132768
CITY WOODLAKE,132811
CITY WOODLAND,132916
CITY YERINGTON,132969
CITY YREKA,133022
CITY YUBA CITY,133127
CLARK COUNTY DEPARTMENT OF PUBLIC WORKS,133255
CLARK CO WTR REC DIST,133384
CLEAR CREEK COM SVC,133391
CLEAR CREEK CSD LASSEN COUNTY,133417
CLEARLAKE OAKS CO WTR,133444
COARSEGOLD SOUTH MD-63,133577
COASTSIDE CO WTR DIST,133760
COBB AREA CO WTR DIST,133812
LOCH LOMOND MUTUAL WTR,133813
COLORADO INTERSTATE GAS - CA,133923
COLORADO INTERSTATE GAS COMPANY (EL PASO,133930
COLORADO RIVER COMMISSION OF NEVADA,133944
COLUSA CO WTR,133971
COLUSA PROPERTIES INC,133996
COMCAST BRENTWOOD,134021
COMMUNITY MEDICAL CENTERS,134426
CONCORDIA RESOURCES INC,134480
CONSOLIDATED COMM,134721
CONSOLIDATED COMM 2,134739
COSUMNES CSD,134758
CONTERRA BROADBAND SVC,134798
CONTRA COSTA COUNTY M-28,134843
CONTRA COSTA WATER,135448
CORESITE REALTY CORP,135552
CORNING WATER DIST,135659
COSTCO WHOLESALE,135712
COTTONWOOD CSA#17 SANI,135764
COTTONWOOD WATER DIST,135790
COVELO COMMUNITY SERVICES DISTRICT,135810
CVIN LLC,135830
COULTERVILLE WATER DISTRICT,135850
COUNTY ALAMEDA,135870
CHURCHILL COUNTY,135975
COUNTY CONTRA COSTA 2,136081
COUNTY DEL NORTE,136187
COUNTY DOUGLAS UTILITY DIVISION,136240
COUNTY LAKE,136319
LANDER CO RD & BRIDGE,136333
CO NEVADA SANI DIST#1,136346
COUNTY PLACER PW N. SHORE TAHOE,136398
COUNTY SACRAMENTO - ADMINISTRATION,136503
COUNTY SAN JOAQUIN,136609
COUNTY SAN LUIS OBISPO 1,136714
CO OF SAN LUIS OBISPO TELCOM,136819
COUNTY SAN MATEO,136925
COUNTY SANTA CLARA 2,137136
CO SANTA CRUZ TRF SIG,137347
CO SONOMA TRAFFIC SIGNAL,137559
COUNTY STANISLAUS,137769
COUNTY WASHOE,137874
COUNTY YOLO,137980
CO SVC AREA23-CRAGVIEW,138033
CO OF YOLO COMM,138191
COUNTY OF FRESNO INTERNAL SERVICES DEPT,138481
COX COMM LAS VEGAS,138772
CPN PIPELINE CO.,138799
"CREED ENERGY CENTER, LLC",138800
"CRIMSON PIPELINE, LP",138802
CRIMSON RESOURCE MANAGEMENT,138805
CRESTWOOD WEST COAST LLC,138808
CROCKETT COGENERATION,138812
CROCKETT SANITARY DEPT. (OF CROCKETT CSD,138910
CROSS PT COM CHURCH,138962
CROWN CASTLE (CA),138988
CROWN CASTLE (NV),139001
CROWS LANDING CSD,139015
CRUZIO MEDIA INC.,139018
CUESTA LAHONDA GLD WTR,139022
CUMORAH KNOLLS CSA#10,139029
CUPERTINO SANIT DIST,139036
CUTLER P U D,139141
D.E.O.,139196
DELANO-EARLIMART IRR,139352
DEL ORO WATER CO. INC FERNDALE DIST,139405
DEL ORO WATER CO. - MAGALIA,139408
DEL PASO MANOR WTR,140090
DEL REY COM SVC DIST,140196
DELHI CO WTR,140302
DELTA DENTAL PLAN OF CALIFORNIA,140407
DELTA DIABLO SANIT,140512
"DELTA ENERGY CENTER, LLC",140564
DELTA LIQUID ENERGY,140591
DENAIR COM SVC DIST,140618
DERWA,140626
DESERT LAKE CSD,140630
"DESERT UTILITIES, INC",140634
DIABLO WATER DISTRICT,140649
DICK BROWNS - BORAX,140650
DICK BROWN TECHNICAL SERVICE,140653
"DILLON ESTATES, MD-60",140657
DIGITAL TRANSPORT CORPORATION,140666
"DIGITAL WEST NETWORKS, INC.",140674
DUDLEY RIDGE WTR DIST,140680
DON PEDRO SEWER DISTRICT,140706
DONNER SUMMIT PUD,140733
DOS PALOS AREA JT PWR,140750
DOUGLAS CO SEWER DIST,140829
DOW CHEM,140934
DUKE ENERGY RENEWABLES,141040
DUCOR TELEPHONE CO.,141144
DUBLIN-S/RAMON SVCS DIST,141145
DUNNIGAN WTR DIST,141567
DURHAM IRR DIST,141620
E & B NATURAL RESOURCES,141650
EARLIMART P U D,141673
E.BAY DISCHARGE AUTH.,141726
EAST BAY WATER BIXLER,141778
EAST BAY MUNICIPAL UTILITY DISTRICT - WA,141788
E.CONTRA COSTA IRRIGA,141989
E. NILES COM SVC DIST,142096
E.PALO ALTO SANI DIST,142200
EAST QUINCY SVCS DIST,142305
EASTERN SIERRA PROPANE,142311
"EASTIN ARCOLA, MD-36",142318
